annotator,winner,loser,time
6ad2025ac8e4cefb,ba843f464a043570,7a910ff127ebe4a1,2015-09-20 15:38:21.415173
a17362dcbb8b81cc,78023ab2d0c2de88,11aae39c4c2ffe00,2015-09-20 15:38:21.505088
c3397ec09f1d54a0,72fb46824e112bc9,898e71d965aa47e6,2015-09-20 15:38:22.52826
194c68af17898f0e,c22b9bda505b5749,ba843f464a043570,2015-09-20 15:38:24.584624
929e602b19f17b04,199799cf26a89281,37f8db27b26f5549,2015-09-20 15:38:27.377762
0166339a622c927a,309082f603c5c773,10493e9d37863786,2015-09-20 15:38:29.892015
b6e89c05f85245c9,a51e406f8f84ab2e,b8ecf1fc4559386a,2015-09-20 15:38:30.510099
b6e89c05f85245c9,b8ecf1fc4559386a,fcdc5c6575c7dd66,2015-09-20 15:38:34.156258
9e3409cbe073ecec,b7b333dc171742e1,89db5036fdd264f9,2015-09-20 15:38:39.841254
0093c1a9733e3804,74028fda5ee6eab9,d90a8c3141dc0d55,2015-09-20 15:38:42.785016
19998f7ae23f3e83,89db5036fdd264f9,4247049116327144,2015-09-20 15:38:46.411947
b811034b6daaa0a8,6560f6423793040a,f2c5c5af295a0c6c,2015-09-20 15:38:47.234011
a8a1112be5a953a1,5cd5e5fd18653b7a,96bddd4a7db353d1,2015-09-20 15:38:50.690109
7a528f822855aa4a,f56da49a2469eb73,d474540874b4c1e2,2015-09-20 15:38:54.685559
8e1882eb8c37fede,ba843f464a043570,1af947192561366a,2015-09-20 15:38:55.784416
2ae4272d403a0f02,46a4feb9a4336113,a51e406f8f84ab2e,2015-09-20 15:39:28.598867
202437035cc015e0,bc7f4dc06903be04,37f8db27b26f5549,2015-09-20 15:39:31.356732
7b73a78c34ae3f52,e0f157f879ed0798,8e522755c75d0bc4,2015-09-20 15:39:41.090523
c577760eefe58589,2fa26e875c7ed590,cceca15bb4e5299a,2015-09-20 15:39:43.574911
194c68af17898f0e,c22b9bda505b5749,b8ecf1fc4559386a,2015-09-20 15:39:44.587208
341ff4af54280c7c,89db5036fdd264f9,f2c5c5af295a0c6c,2015-09-20 15:39:55.496531
e57a46a75dab1208,62a9792d111c5f01,2fa26e875c7ed590,2015-09-20 15:39:59.327304
90c5462ca925cc62,cbe1a18ec1cc012f,cc04214dfd98aedc,2015-09-20 15:40:01.523983
357d867d1d0ddc0b,88e6c4e73ebdc053,8eec936c243bae81,2015-09-20 15:40:07.010461
c9703af7995bee70,2fa26e875c7ed590,0f1aa4a556467be8,2015-09-20 15:40:07.084655
5b952f4b5bdd5a1c,b1e728abf9fb8bba,c63d36204ede0d5c,2015-09-20 15:40:08.497593
5fc824b1d31cc45a,89db5036fdd264f9,48396acc0443b6b0,2015-09-20 15:40:11.929565
